magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,magtype,depth,location
6.7,8.0,7.0,1.0,806.0,0.0,0.289,32.0,mww,24.0,"Hualien City, Taiwan"
7.3,9.0,8.0,1.0,1149.125,0.0,2.936,29.0,mww,41.0,"Namie, Japan"
6.7,9.0,6.0,0.0,708.0,0.0,2.188,43.0,mww,28.0,"Pariaman, Indonesia"
6.6,2.0,7.0,1.0,670.0,0.0,0.827,46.0,mww,24.0,"Kermadec Islands, New Zealand"
6.8,2.0,3.0,1.0,712.0,0.0,3.873125,12.0,mww,113.5,the Fiji Islands
6.5,8.0,6.0,0.0,690.0,0.0,3.026,22.0,mww,110.0,"Barranca, Peru"
6.5,7.0,4.0,1.0,651.0,0.0,1.088,57.0,mww,8.0,Kermadec Islands region
6.6,8.0,6.0,0.0,785.0,0.0,2.418,22.0,mww,33.0,"Labuan, Indonesia"
6.5,0.0,3.0,1.0,650.0,97.0,1.61607,67.5,Mi,37.0,"Nikolski, Alaska"
6.5,0.0,3.0,1.0,650.0,23.0,0.0,67.5,Mi,37.0,"Nikolski, Alaska"
6.6,8.0,5.0,1.0,674.0,0.0,0.507,49.0,mww,19.0,"Nikolski, Alaska"
6.7,0.0,4.0,1.0,691.0,50.0,0.936943,67.5,Mi,33.0,"Nikolski, Alaska"
6.7,0.0,4.0,1.0,691.0,20.0,0.0,67.5,Mi,33.0,"Nikolski, Alaska"
6.8,7.0,6.0,1.0,730.0,0.0,0.92,61.0,mww,20.0,"Nikolski, Alaska"
6.6,6.0,6.0,0.0,976.0,0.0,1.168,21.0,mww,21.0,"Pólis, Cyprus"
6.6,9.0,8.0,0.0,1012.0,0.0,2.685,13.0,mww,13.0,"northern Qinghai, China"
7.3,8.0,7.0,0.0,921.0,0.0,3.713,19.0,mww,113.5,"Lospalos, Timor Leste"
7.3,9.0,5.0,1.0,854.0,0.0,1.025,32.0,mww,14.27,Flores Sea
7.5,8.0,8.0,1.0,1094.0,0.0,3.873125,40.0,mww,113.5,"Barranca, Peru"
6.6,7.0,4.0,1.0,688.0,0.0,3.259,15.0,mww,12.0,"Hirara, Japan"
6.9,8.0,6.0,1.0,995.0,0.0,0.0,0.0,mww,51.6,"Chignik, Alaska"
6.9,4.0,3.0,1.0,740.0,0.0,3.873125,31.0,mww,113.5,Vanuatu region
7.3,4.0,4.0,1.0,826.0,0.0,3.873125,32.0,mww,113.5,Vanuatu region
6.5,7.0,5.0,1.0,684.0,0.0,0.993,67.5,mww,21.0,"Jiquilillo, Nicaragua"
7.0,8.0,8.0,1.0,1149.125,0.0,0.07,43.0,mww,20.0,"Acapulco, Mexico"
7.1,1.0,4.0,1.0,776.0,0.0,3.873125,32.0,mww,6.0,South Sandwich Islands region
6.6,1.0,3.0,1.0,670.0,0.0,3.873125,19.0,mww,7.0,South Sandwich Islands region
6.9,8.0,7.0,1.0,741.0,0.0,0.579,54.0,mww,93.0,"Port-Olry, Vanuatu"
6.9,6.0,4.0,1.0,734.0,0.0,3.873125,48.0,mww,16.7,South Sandwich Islands region
7.2,9.0,8.0,1.0,1149.125,0.0,1.178,23.0,mww,10.0,"Nippes, Haiti"
6.9,5.0,4.0,1.0,738.0,0.0,0.0,0.0,mww,33.3,"Perryville, Alaska"
6.9,5.0,4.0,1.0,738.0,0.0,1.173,36.0,mww,20.74,"Perryville, Alaska"
7.85,0.0,7.0,0.0,1009.0,0.0,3.873125,67.5,mww,22.79,South Sandwich Islands region
7.5,9.0,6.0,1.0,868.0,0.0,3.873125,38.0,mww,47.23,South Sandwich Islands region
7.1,9.0,7.0,1.0,846.0,0.0,1.273,25.0,mww,55.14,"Pondaguitan, Philippines"
7.85,8.0,6.0,1.0,1149.125,0.0,0.875,66.0,mww,46.66,"Perryville, Alaska"
7.85,8.0,7.0,1.0,1149.125,0.0,0.0,0.0,mww,35.0,"Perryville, Alaska"
6.7,8.0,5.0,1.0,935.0,0.0,3.873125,12.0,mww,110.0,"Hukay, Philippines"
6.7,6.0,6.0,1.0,830.0,0.0,1.395,61.0,mww,10.0,"Burica, Panama"
6.5,0.0,4.0,1.0,650.0,0.0,3.873125,24.0,mww,25.0,"Kermadec Islands, New Zealand"
6.5,5.0,7.0,1.0,652.0,0.0,3.873125,44.0,mww,10.0,"Alo, Wallis and Futuna"
7.3,9.0,9.0,0.0,1025.0,0.0,3.873125,9.0,mww,10.0,"Southern Qinghai, China"
6.7,8.0,4.0,0.0,698.0,0.0,1.487,37.0,mww,11.0,"Sinabang, Indonesia"
6.7,9.0,3.0,0.0,694.0,0.0,3.873125,45.0,mww,10.0,Mauritius - Reunion region
6.9,7.0,6.0,1.0,919.0,0.0,2.619,35.0,mww,43.0,"Kokopo, Papua New Guinea"
