magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,magtype,depth,location
6.5,0.0,5.0,0.0,650.0,0.0,1.937,18.0,mww,12.26,"Kirakira, Solomon Islands"
7.8,9.0,8.0,1.0,961.0,0.0,1.836,13.0,mww,40.0,"Kirakira, Solomon Islands"
6.6,5.0,4.0,1.0,1120.0,0.0,1.405,55.0,mww,8.45,"Ferndale, California"
6.5,9.0,8.0,0.0,731.0,0.0,0.778,27.0,mww,13.0,"Reuleuet, Indonesia"
6.6,8.0,7.0,0.0,693.0,0.0,1.697,20.0,mww,17.0,"Murghob, Tajikistan"
6.9,5.0,4.0,1.0,855.0,0.0,1.796,20.0,mww,10.0,"Puerto El Triunfo, El Salvador"
6.9,9.0,6.0,1.0,1144.0,0.0,0.671,10.0,mww,9.0,"Namie, Japan"
6.5,7.0,7.0,1.0,664.0,0.0,0.283,56.0,mww,9.0,"Amberley, New Zealand"
6.5,6.0,7.0,1.0,656.0,0.0,0.135,58.0,mww,10.0,"Blenheim, New Zealand"
7.8,9.0,9.0,1.0,1149.125,0.0,0.481,21.0,mww,15.11,"Amberley, New Zealand"
6.6,9.0,8.0,0.0,1149.125,0.0,0.174,25.0,mww,8.0,"Preci, Italy"
6.6,3.0,3.0,0.0,677.0,0.0,2.022,16.0,mww,113.5,"Pamanukan, Indonesia"
6.8,3.0,6.0,1.0,716.0,0.0,3.727,11.0,mww,42.0,"Kandrian, Papua New Guinea"
6.9,2.0,3.0,1.0,733.0,0.0,3.873125,9.0,mww,113.5,Fiji region
7.0,5.0,6.0,1.0,897.0,0.0,0.698,21.0,mww,19.0,"Gisborne, New Zealand"
6.8,4.0,3.0,1.0,713.0,0.0,0.803,12.0,mww,113.5,"Rabaul, Papua New Guinea"
6.8,6.0,6.0,0.0,981.0,0.0,1.802,17.0,mww,82.0,"Chauk, Myanmar"
7.2,6.0,5.0,1.0,799.0,0.0,3.873125,14.0,mww,16.37,the Loyalty Islands
7.7,5.0,6.0,1.0,971.0,0.0,3.294,14.0,mww,113.5,"Pagan region, Northern Mariana Islands"
6.6,4.0,6.0,0.0,671.0,0.0,2.435,16.0,mww,50.0,"Sungai Penuh, Indonesia"
7.2,1.0,6.0,1.0,798.0,0.0,3.873125,24.0,mww,78.0,South Sandwich Islands region
6.9,3.0,3.0,1.0,733.0,0.0,3.873125,19.0,mww,113.5,"Kokopo, Papua New Guinea"
6.9,8.0,7.0,1.0,780.0,0.0,1.192,17.0,mww,29.95,"Rosa Zarate, Ecuador"
6.7,5.0,7.0,1.0,744.0,0.0,1.352,21.0,mww,16.0,"Muisne, Ecuador"
7.0,7.0,7.0,1.0,755.0,0.0,0.616,14.0,mww,24.0,"Norsup, Vanuatu"
7.8,9.0,9.0,1.0,1149.125,0.0,1.44,15.0,mww,20.59,"Muisne, Ecuador"
7.0,9.0,9.0,1.0,1149.125,0.0,0.349,32.0,mww,10.0,"Kumamoto, Japan"
6.9,6.0,6.0,0.0,903.0,0.0,3.001,14.0,mww,113.5,"Mawlaik, Myanmar"
6.6,6.0,4.0,0.0,738.0,0.0,0.789,17.0,mww,113.5,"Ashk?sham, Afghanistan"
6.7,7.0,5.0,1.0,692.0,0.0,3.873125,25.0,mww,27.59,"Sola, Vanuatu"
6.7,7.0,6.0,1.0,691.0,0.0,3.873125,19.0,mww,24.0,"Sola, Vanuatu"
6.9,7.0,6.0,1.0,734.0,0.0,1.166,25.0,mww,26.0,"Port-Olry, Vanuatu"
7.8,4.0,3.0,0.0,948.0,0.0,3.873125,20.0,mww,24.0,"Sumatra, Indonesia"
7.2,3.0,7.0,1.0,799.0,0.0,0.958,17.0,mww,113.5,"Mil’kovo, Russia"
7.1,7.0,7.0,1.0,1149.125,0.0,0.0,0.0,mw,113.5,"Pedro Bay, Alaska"
6.6,3.0,4.0,1.0,673.0,0.0,2.413,67.5,mww,10.0,"La Cruz de Loreto, Mexico"
6.7,5.0,6.0,1.0,717.0,0.0,0.281,22.0,mww,46.0,"Shizunai-furukawach?, Japan"
6.5,3.0,6.0,1.0,651.0,0.0,3.144,22.0,mww,13.0,"Sarangani, Philippines"
6.7,8.0,7.0,0.0,1149.125,0.0,1.794,16.0,mww,55.0,"Imph?l, India"
6.6,8.0,6.0,1.0,765.0,0.0,0.41,35.0,mww,85.0,"Manuel Ávila Camacho (Ponte Duro), Mexico"
6.9,8.0,5.0,0.0,738.0,0.0,2.979,14.0,mww,21.0,"Amahai, Indonesia"
7.2,4.0,7.0,0.0,827.0,0.0,1.116,18.0,mww,22.0,"Murghob, Tajikistan"
6.7,2.0,3.0,0.0,691.0,0.0,2.033,19.0,mww,113.5,"Tarauacá, Brazil"
7.6,5.0,4.0,0.0,896.0,0.0,2.852,10.0,mww,113.5,"Iñapari, Peru"
7.6,6.0,5.0,1.0,957.0,0.0,3.287,10.0,mww,113.5,"Iñapari, Peru"
6.8,5.0,6.0,1.0,715.0,0.0,1.599,19.0,mww,12.59,"Buala, Solomon Islands"
6.5,7.0,7.0,0.0,1018.0,0.0,0.0,0.0,mww,11.0,"Lefkáda, Greece"
6.7,5.0,4.0,0.0,702.0,0.0,1.444,17.0,mww,12.0,"Makurazaki, Japan"
6.9,5.0,6.0,0.0,744.0,0.0,0.821,43.0,mww,10.0,"Coquimbo, Chile"
6.9,6.0,6.0,1.0,761.0,0.0,0.784,32.0,mww,12.0,"Coquimbo, Chile"
6.6,7.0,4.0,0.0,675.0,0.0,2.792,31.0,mww,10.0,"Nicobar Islands, India region"
6.8,7.0,7.0,1.0,841.0,0.0,0.258,41.0,mww,46.0,"Ovalle, Chile"
6.5,5.0,7.0,0.0,657.0,0.0,1.53,21.0,mww,20.0,"Maubara, Timor Leste"
7.5,8.0,7.0,0.0,1149.125,0.0,0.622,18.0,mww,113.5,"Hindu Kush region, Afghanistan"
7.1,6.0,6.0,1.0,780.0,0.0,0.592,11.0,mww,113.5,"Port-Olry, Vanuatu"
6.6,7.0,7.0,0.0,671.0,0.0,2.486,13.0,mww,18.0,"Sorong, Indonesia"
6.6,5.0,7.0,1.0,820.0,0.0,1.064,14.0,mww,35.0,"Illapel, Chile"
6.7,5.0,7.0,0.0,718.0,0.0,0.853,35.0,mww,23.0,"Illapel, Chile"
6.5,6.0,7.0,0.0,657.0,0.0,0.749,62.0,mww,27.0,"Illapel, Chile"
7.0,8.0,7.0,0.0,799.0,0.0,0.903,13.0,mww,28.41,"Illapel, Chile"
7.85,9.0,8.0,1.0,1149.125,0.0,0.684,19.0,mww,22.44,"Illapel, Chile"
6.7,5.0,5.0,1.0,708.0,0.0,1.256,67.5,mww,10.0,"Topolobampo, Mexico"
6.5,0.0,5.0,1.0,650.0,0.0,2.045,16.0,mww,6.43,"Gizo, Solomon Islands"
6.6,3.0,5.0,1.0,671.0,0.0,1.872,20.0,mww,22.0,"Malango, Solomon Islands"
7.0,9.0,7.0,1.0,762.0,0.0,3.873125,12.0,mww,48.0,"Abepura, Indonesia"
6.9,4.0,7.0,1.0,734.0,0.0,0.444,39.0,mww,29.0,"Fox Islands, Aleutian Islands, Alaska"
7.0,8.0,6.0,1.0,759.0,0.0,3.873125,22.0,mww,11.0,"Lata, Solomon Islands"
6.5,4.0,4.0,1.0,686.0,0.0,1.218,20.0,mww,20.0,"Bathsheba, Barbados"
6.7,4.0,5.0,1.0,691.0,0.0,1.529,11.0,mww,12.0,"Malango, Solomon Islands"
6.5,3.0,4.0,0.0,652.0,0.0,2.277,11.0,mww,113.5,"Bonin Islands, Japan region"
7.8,6.0,3.0,1.0,1149.125,0.0,1.675,12.0,mww,113.5,"Bonin Islands, Japan region"
6.8,5.0,6.0,1.0,762.0,0.0,0.0,0.0,mw,72.6,"Ugashik, Alaska"
6.8,1.0,5.0,1.0,711.0,0.0,3.619,18.0,mww,10.0,"Kirakira, Solomon Islands"
6.9,1.0,4.0,1.0,732.0,0.0,3.873125,22.0,mww,11.19,"Kirakira, Solomon Islands"
6.8,1.0,4.0,1.0,711.0,0.0,3.873125,15.0,mww,11.0,"Lata, Solomon Islands"
6.8,8.0,6.0,1.0,831.0,0.0,1.422,8.0,mww,35.0,"?funato, Japan"
7.3,8.0,7.0,0.0,1149.125,0.0,0.677,11.0,mww,15.0,Nepal
7.1,1.0,6.0,1.0,776.0,0.0,3.835,11.0,mww,10.0,"Panguna, Papua New Guinea"
7.5,7.0,8.0,1.0,869.0,0.0,1.295,22.0,mww,55.0,"Kokopo, Papua New Guinea"
6.8,5.0,6.0,1.0,714.0,0.0,1.074,23.0,mww,44.0,"Kokopo, Papua New Guinea"
6.7,5.0,6.0,1.0,692.0,0.0,1.239,12.0,mww,31.0,"Kokopo, Papua New Guinea"
6.7,7.0,7.0,0.0,1016.0,0.0,0.727,13.0,mww,22.91,"Kod?ri??, Nepal"
6.6,8.0,7.0,0.0,733.0,0.0,1.778,16.0,mww,10.0,"Bharatpur, Nepal"
7.8,8.0,9.0,0.0,1149.125,0.0,1.857,12.0,mww,8.22,"Bharatpur, Nepal"
6.5,0.0,5.0,1.0,650.0,0.0,3.702,42.0,mww,10.0,"Alo, Wallis and Futuna"
6.5,2.0,5.0,1.0,650.0,0.0,3.873125,36.0,mww,11.0,"Hihifo, Tonga"
7.5,6.0,7.0,1.0,872.0,0.0,0.666,19.0,mww,41.0,"Kokopo, Papua New Guinea"
7.0,4.0,6.0,0.0,760.0,0.0,1.362,12.0,mww,113.5,"Maumere, Indonesia"
6.7,5.0,5.0,1.0,714.0,0.0,1.925,20.0,mww,23.0,"Miyako, Japan"
6.7,4.0,6.0,1.0,700.0,0.0,2.11,16.0,mww,113.5,"El Aguilar, Argentina"
6.8,1.0,4.0,1.0,711.0,0.0,2.019,13.0,mww,113.5,"Port-Vila, Vanuatu"
6.5,1.0,4.0,1.0,650.0,0.0,3.873125,61.0,mww,8.0,"Punta de Burica, Panama"
6.6,7.0,6.0,1.0,709.0,0.0,2.485,43.0,mww,20.0,"Punta de Burica, Panama"
6.6,1.0,5.0,1.0,670.0,0.0,3.246,12.0,mww,23.0,"Panguna, Papua New Guinea"
6.6,1.0,3.0,0.0,670.0,0.0,2.6,9.0,mww,113.5,"Sangay, Philippines"
6.8,6.0,5.0,1.0,713.0,0.0,1.421,19.0,mww,39.0,"Ternate, Indonesia"
6.5,5.0,5.0,1.0,652.0,0.0,1.549,9.0,mww,35.0,"Tobelo, Indonesia"
6.7,7.0,4.0,1.0,698.0,0.0,1.079,25.0,mww,22.0,"Gisborne, New Zealand"
7.1,4.0,6.0,1.0,779.0,0.0,1.397,18.0,mww,45.0,"Ternate, Indonesia"
6.6,2.0,6.0,1.0,671.0,0.0,3.557,13.0,mww,53.19,"Finschhafen, Papua New Guinea"
7.1,3.0,6.0,1.0,776.0,0.0,3.873125,13.0,mww,113.5,Fiji region
7.3,8.0,6.0,1.0,982.0,0.0,1.078,18.0,mww,40.0,"Intipucá, El Salvador"
6.7,5.0,5.0,1.0,724.0,0.0,0.46,11.0,mww,113.5,"Piti Village, Guam"
6.8,6.0,6.0,1.0,741.0,0.0,3.873125,18.0,mww,101.0,"Aniso, Peru"
6.9,0.0,4.0,1.0,732.0,0.0,3.873125,12.0,mww,13.0,Micronesia region
6.9,0.0,6.0,1.0,732.0,0.0,3.873125,15.0,mww,113.5,Fiji region
6.5,5.0,4.0,1.0,706.0,0.0,2.421,9.0,mww,20.0,"Namie, Japan"
6.9,8.0,7.0,1.0,1079.0,0.0,0.263,51.0,mww,53.0,"Puerto Madero, Mexico"
6.5,0.0,4.0,1.0,650.0,0.0,2.124,15.0,mww,20.0,"Kokopo, Papua New Guinea"
6.7,0.0,5.0,1.0,691.0,0.0,3.873125,45.0,mww,18.0,"Mata-Utu, Wallis and Futuna"
6.9,0.0,5.0,1.0,732.0,0.0,3.873125,25.0,mww,8.0,South Sandwich Islands region
7.85,6.0,8.0,1.0,963.0,0.0,0.133,22.0,mww,109.0,"Rat Islands, Aleutian Islands, Alaska"
6.7,0.0,5.0,0.0,691.0,0.0,0.748,43.0,mwc,26.59,"Kermadec Islands, New Zealand"
6.5,0.0,5.0,0.0,650.0,0.0,0.778,30.0,mwc,10.0,"Kermadec Islands, New Zealand"
6.9,0.0,5.0,1.0,732.0,0.0,0.751,35.0,mww,20.0,"Kermadec Islands, New Zealand"
6.9,9.0,7.0,0.0,951.0,0.0,0.402,25.0,mww,6.43,"Kamariótissa, Greece"
6.5,7.0,5.0,1.0,694.0,0.0,3.121,33.0,mww,10.0,"Punta de Burica, Panama"
6.6,0.0,5.0,1.0,670.0,0.0,3.34,10.0,mww,106.0,"Isangel, Vanuatu"
6.5,4.0,6.0,1.0,838.0,0.0,0.0,0.0,mww,10.0,"Vernon, Canada"
7.5,0.0,6.0,1.0,865.0,0.0,3.82,16.0,mww,43.37,"Panguna, Papua New Guinea"
6.6,0.0,6.0,1.0,670.0,0.0,3.803,11.0,mww,29.0,"Panguna, Papua New Guinea"
7.2,8.0,7.0,1.0,1017.0,0.0,2.25,46.0,mww,24.0,"Coyuquilla Norte, Mexico"
6.6,0.0,6.0,0.0,670.0,0.0,2.666,22.0,mww,10.0,"Kirakira, Solomon Islands"
7.4,0.0,6.0,1.0,842.0,0.0,2.885,17.0,mww,39.0,"Kirakira, Solomon Islands"
7.6,0.0,7.0,1.0,889.0,0.0,2.828,13.0,mww,22.56,"Kirakira, Solomon Islands"
6.6,6.0,5.0,1.0,677.0,0.0,0.761,20.0,mww,113.5,"Belén, Nicaragua"
6.5,0.0,6.0,1.0,650.0,0.0,3.787,16.0,mww,20.0,"Panguna, Papua New Guinea"
7.1,0.0,7.0,1.0,776.0,0.0,3.729,21.0,mww,60.53,"Panguna, Papua New Guinea"
7.7,8.0,9.0,1.0,1057.0,0.0,1.029,44.0,mww,22.4,"Iquique, Chile"
6.5,7.0,7.0,0.0,670.0,0.0,0.828,67.5,mww,24.07,"Iquique, Chile"
6.9,0.0,5.0,0.0,732.0,0.0,0.828,67.5,mww,28.42,"Iquique, Chile"
7.85,9.0,8.0,1.0,1149.125,0.0,0.609,23.0,mww,25.0,"Iquique, Chile"
6.7,7.0,7.0,1.0,718.0,0.0,1.008,44.0,mww,20.0,"Iquique, Chile"
6.8,5.0,5.0,1.0,1149.125,112.0,0.6568,67.5,mw,16.441,"Indianola, California"
6.5,4.0,5.0,1.0,668.0,0.0,1.001,17.0,mww,113.5,"Nago, Japan"
6.5,5.0,4.0,1.0,681.0,0.0,1.635,30.0,mww,14.83,"Greenland, Barbados"
6.9,3.0,8.0,0.0,733.0,0.0,3.873125,18.0,mww,10.0,"Hotan, China"
6.5,0.0,5.0,1.0,650.0,0.0,0.409,20.0,mww,113.5,"Port-Olry, Vanuatu"
6.5,0.0,3.0,1.0,650.0,0.0,3.651,22.0,mww,44.26,the Kermadec Islands
6.5,0.0,4.0,1.0,650.0,0.0,3.873125,14.0,mww,113.5,"Sola, Vanuatu"
6.5,3.0,4.0,0.0,651.0,0.0,3.873125,22.0,mww,113.5,Fiji region
7.7,1.0,8.0,1.0,912.0,0.0,3.873125,23.0,mww,10.0,Scotia Sea
6.9,0.0,5.0,1.0,732.0,0.0,3.873125,17.0,mww,9.97,Scotia Sea
6.6,6.0,7.0,1.0,723.0,0.0,0.636,31.0,mww,27.0,"Coquimbo, Chile"
7.1,6.0,4.0,1.0,872.0,0.0,3.873125,10.0,mww,35.0,"off the east coast of Honshu, Japan"
6.6,8.0,5.0,1.0,692.0,0.0,1.98,44.0,mww,9.45,"Etchoropo, Mexico"
6.8,0.0,6.0,1.0,711.0,0.0,3.873125,9.0,mww,35.0,"Panguna, Papua New Guinea"
7.1,9.0,8.0,1.0,1092.0,0.0,3.144,12.0,mww,19.04,"Sagbayan, Philippines"
6.6,5.0,6.0,0.0,691.0,0.0,1.984,40.0,mww,40.0,"Kíssamos, Greece"
6.7,0.0,3.0,0.0,691.0,0.0,2.958,11.0,mww,113.5,Okhotsk
6.5,0.0,4.0,1.0,650.0,0.0,1.709,21.0,mww,41.54,"Kermadec Islands, New Zealand"
6.8,7.0,7.0,0.0,1005.0,0.0,3.873125,17.0,mww,12.0,"Khuzdar, Pakistan"
7.1,8.0,7.0,1.0,843.0,0.0,3.873125,17.0,mww,40.0,"Atiquipa, Peru"
7.7,5.0,8.0,0.0,1149.125,0.0,3.873125,17.0,mww,15.0,"Bela, Pakistan"
6.5,0.0,6.0,1.0,650.0,0.0,0.735,24.0,mww,20.0,"Atka, Alaska"
6.5,5.0,3.0,0.0,739.0,0.0,3.276,26.0,mww,113.5,"Izu Islands, Japan region"
6.5,4.0,5.0,0.0,668.0,0.0,3.097,11.0,mww,112.0,"Lospalos, Timor Leste"
7.0,5.0,6.0,0.0,758.0,0.0,0.624,53.0,mww,29.0,"Atka, Alaska"
6.5,9.0,7.0,1.0,690.0,0.0,0.0,0.0,mww,8.2,"Blenheim, New Zealand"
6.7,4.0,5.0,1.0,715.0,0.0,3.741,22.0,mww,12.0,"Bahía Solano, Colombia"
6.5,6.0,7.0,1.0,693.0,229.0,0.0,20.0,mww,17.0,"Blenheim, New Zealand"
7.3,0.0,6.0,1.0,820.0,398.0,0.0,43.0,mww,11.0,South Sandwich Islands region
6.6,4.0,6.0,0.0,674.0,139.0,0.0,14.0,mww,56.0,"Kandrian, Papua New Guinea"
7.3,0.0,4.0,1.0,820.0,117.0,0.0,24.0,mww,113.5,"Kokopo, Papua New Guinea"
6.6,0.0,7.0,1.0,670.0,111.0,0.0,16.0,mww,10.0,northern Mid-Atlantic Ridge
6.5,5.0,6.0,1.0,679.0,698.0,0.0,27.0,mww,30.0,"Masachapa, Nicaragua"
6.7,5.0,4.0,0.0,710.0,515.0,0.0,24.0,mww,9.0,"Java, Indonesia"
6.7,0.0,3.0,1.0,691.0,217.0,0.0,25.2,mwb,113.5,Okhotsk
7.85,5.0,5.0,1.0,1115.0,385.0,0.0,10.0,mww,113.5,Okhotsk
7.4,0.0,6.0,1.0,842.0,626.0,0.0,16.0,mww,113.5,"Vaini, Tonga"
6.8,0.0,3.0,0.0,711.0,131.0,0.0,18.0,mww,113.5,"Pagan region, Northern Mariana Islands"
6.5,0.0,6.0,1.0,650.0,264.0,0.0,16.6,mww,10.0,"Rabaul, Papua New Guinea"
6.6,8.0,8.0,0.0,1149.125,548.0,0.0,12.6,mww,14.0,"Linqiong, China"
7.2,5.0,7.0,1.0,804.0,770.0,0.0,10.1,mww,110.0,"Kuril’sk, Russia"
6.6,7.0,7.0,1.0,672.0,445.0,0.0,11.0,mww,13.0,"Aitape, Papua New Guinea"
7.7,8.0,8.0,0.0,1149.125,506.0,0.0,26.6,mww,80.0,"Kh?sh, Iran"
6.6,0.0,5.0,1.0,670.0,491.0,0.0,11.5,mww,31.0,"Panguna, Papua New Guinea"
7.0,3.0,7.0,1.0,755.0,640.0,0.0,11.4,mww,66.0,"Abepura, Indonesia"
6.5,0.0,6.0,1.0,650.0,317.0,0.0,14.2,mww,28.0,"Finschhafen, Papua New Guinea"
6.5,3.0,6.0,0.0,651.0,480.0,0.0,20.7,mww,29.0,"Ozernovskiy, Russia"
6.9,5.0,6.0,1.0,736.0,531.0,0.0,20.7,mww,41.0,"Ozernovskiy, Russia"
6.6,0.0,7.0,1.0,670.0,697.0,0.0,15.3,mww,11.0,"Belaya Gora, Russia"
6.6,0.0,6.0,1.0,670.0,421.0,0.0,16.6,mww,18.0,"Lata, Solomon Islands"
6.9,5.0,5.0,1.0,904.0,562.0,0.0,23.7,mww,113.5,"Yacuanquer, Colombia"
7.1,9.0,6.0,1.0,780.0,334.0,0.0,16.5,mww,21.0,"Lata, Solomon Islands"
6.8,0.0,7.0,1.0,711.0,400.0,0.0,17.5,mww,12.0,"Lata, Solomon Islands"
6.7,0.0,6.0,1.0,691.0,387.0,0.0,26.5,mww,11.0,"Lata, Solomon Islands"
7.0,0.0,6.0,0.0,754.0,445.0,0.0,17.5,mww,8.8,"Lata, Solomon Islands"
7.1,0.0,5.0,0.0,776.0,550.0,0.0,18.4,mww,10.0,"Lata, Solomon Islands"
7.85,8.0,7.0,1.0,993.0,460.0,0.0,20.9,mww,24.0,"Lata, Solomon Islands"
6.9,6.0,7.0,0.0,814.0,686.0,0.0,28.0,mww,107.0,"Obihiro, Japan"
6.8,6.0,7.0,0.0,771.0,596.0,0.0,19.3,mww,45.0,"Vallenar, Chile"
7.5,6.0,6.0,0.0,1149.125,0.0,0.0,0.0,mw,8.7,"Edna Bay, Alaska"
6.7,0.0,4.0,0.0,691.0,521.0,0.0,13.7,mww,113.5,"Sola, Vanuatu"
7.1,5.0,5.0,0.0,843.0,517.0,0.0,8.7,mww,113.5,Banda Sea
7.3,6.0,5.0,0.0,1014.0,918.0,0.0,14.8,mww,31.0,"?funato, Japan"
6.5,4.0,5.0,0.0,708.0,598.0,0.0,57.3,mww,20.0,"Champerico, Guatemala"
6.8,7.0,6.0,0.0,795.0,391.0,0.0,13.7,mww,13.7,"Shwebo, Myanmar"
7.4,8.0,7.0,0.0,1149.125,751.0,0.0,25.5,mww,24.0,"Champerico, Guatemala"
7.8,8.0,7.0,0.0,1149.125,807.0,0.0,42.7,mww,14.0,"Prince Rupert, Canada"
6.5,6.0,6.0,0.0,745.0,691.0,0.0,34.4,mww,17.0,Costa Rica
6.6,3.0,5.0,0.0,675.0,291.0,0.0,17.7,mww,13.0,"Tual, Indonesia"
7.3,7.0,6.0,0.0,1149.125,934.0,0.0,15.5,mww,113.5,"San Agustín, Colombia"
7.6,8.0,7.0,0.0,1149.125,703.0,0.0,34.3,mww,35.0,"Hojancha, Costa Rica"
7.6,8.0,5.0,0.0,1115.0,682.0,0.0,10.2,mww,28.0,"Sulangan, Philippines"
7.3,5.0,5.0,0.0,994.0,417.0,0.0,37.0,mww,28.0,"Puerto El Triunfo, El Salvador"
6.6,4.0,5.0,0.0,678.0,497.0,0.0,14.6,mww,91.1,"Tobelo, Indonesia"
7.7,7.0,4.0,0.0,941.0,862.0,0.0,13.8,mww,113.5,"Poronaysk, Russia"
6.5,5.0,6.0,0.0,653.0,576.0,0.0,11.7,mww,41.0,"Kokopo, Papua New Guinea"
6.6,4.0,5.0,0.0,675.0,529.0,0.0,15.7,mww,113.5,"Neiafu, Tonga"
6.7,0.0,7.0,0.0,691.0,370.0,0.0,15.4,mww,16.0,"Manokwari, Indonesia"
6.8,6.0,5.0,0.0,732.0,597.0,0.0,12.6,mww,113.5,"Lae, Papua New Guinea"
6.7,0.0,7.0,0.0,691.0,518.0,0.0,26.9,mww,29.0,"Hacienda La Calera, Chile"
7.0,7.0,7.0,0.0,1000.0,474.0,0.0,67.5,mww,13.0,"San Luis, Mexico"
6.5,7.0,6.0,0.0,1149.125,599.0,0.0,54.1,mwb,20.0,"El Habillal, Mexico"
7.85,9.0,6.0,0.0,1149.125,341.0,0.0,14.9,mwc,25.1,off the west coast of northern Sumatra
7.85,9.0,7.0,0.0,1149.125,499.0,0.0,16.6,mw,20.0,off the west coast of northern Sumatra
7.1,7.0,7.0,0.0,1149.125,553.0,0.0,15.2,mww,40.7,"Constitución, Chile"
6.6,6.0,6.0,0.0,709.0,640.0,0.0,10.1,mww,113.5,"Kainantu, Papua New Guinea"
7.4,9.0,8.0,0.0,1149.125,672.0,0.0,37.9,mww,20.0,"Santiago Llano Grande, Mexico"
6.7,7.0,7.0,0.0,833.0,596.0,0.0,13.4,mww,12.0,"Saryg-Sep, Russia"
6.7,9.0,7.0,0.0,1149.125,572.0,0.0,11.1,mww,11.0,"Jimalalud, Philippines"
7.1,5.0,5.0,0.0,793.0,573.0,0.0,12.0,mww,23.0,"Port-Vila, Vanuatu"
7.2,4.0,4.0,0.0,838.0,443.0,0.0,17.0,mww,19.0,off the west coast of northern Sumatra
6.6,0.0,7.0,0.0,670.0,545.0,0.0,17.6,mww,15.0,"Saryg-Sep, Russia"
7.1,6.0,6.0,0.0,834.0,485.0,0.0,10.6,mww,113.5,"Wau, Papua New Guinea"
6.5,8.0,7.0,0.0,1149.125,578.0,0.0,38.6,mww,59.0,"Nuevo Balsas, Mexico"
6.9,6.0,7.0,0.0,847.0,474.0,0.0,46.5,mww,24.0,"Santiago, Peru"
7.1,9.0,9.0,0.0,1096.0,693.0,0.0,19.7,mww,18.0,"Van, Turkey"
6.5,3.0,6.0,0.0,655.0,423.0,0.0,12.6,mww,37.0,"Finschhafen, Papua New Guinea"
6.9,8.0,8.0,0.0,1149.125,383.0,0.0,13.0,mww,50.0,"Mangan, India"
6.7,5.0,5.0,0.0,712.0,667.0,0.0,10.9,mwc,30.0,"Miyako, Japan"
6.7,5.0,6.0,0.0,915.0,447.0,0.0,15.3,mww,91.0,"Kabanjahe, Indonesia"
7.0,7.0,5.0,0.0,761.0,406.0,0.0,15.3,mww,113.5,"Isangel, Vanuatu"
7.0,6.0,6.0,0.0,913.0,471.0,0.0,26.9,mww,113.5,"Contamana, Peru"
7.1,5.0,6.0,0.0,787.0,564.0,0.0,12.3,mww,28.0,"Port-Vila, Vanuatu"
6.5,0.0,5.0,0.0,650.0,322.0,0.0,15.0,mwc,35.0,"Port-Vila, Vanuatu"
7.2,8.0,6.0,0.0,813.0,280.0,0.0,18.4,mww,32.0,"Port-Vila, Vanuatu"
6.6,3.0,6.0,0.0,674.0,229.0,0.0,16.6,mww,10.0,"Angoram, Papua New Guinea"
7.6,3.0,7.0,0.0,893.0,567.0,0.0,33.5,mww,17.0,Kermadec Islands region
6.7,6.0,6.0,0.0,749.0,592.0,0.0,24.9,mww,33.0,"Miyako, Japan"
6.8,4.0,5.0,0.0,734.0,519.0,0.0,12.5,mww,11.0,"Wé, New Caledonia"
6.8,5.0,6.0,0.0,719.0,445.0,0.0,13.0,mww,79.0,"Kirakira, Solomon Islands"
6.6,7.0,7.0,0.0,822.0,586.0,0.0,10.1,mww,11.0,"Ishikawa, Japan"
7.1,8.0,8.0,0.0,1114.0,446.0,0.0,17.7,mww,42.0,"Ishinomaki, Japan"
6.6,7.0,6.0,0.0,897.0,518.0,0.0,37.2,mww,113.5,"Helio García Alfaro, Mexico"
6.9,7.0,9.0,0.0,1149.125,335.0,0.0,18.2,mww,8.0,"Tachilek, Myanmar"
6.6,6.0,5.0,0.0,673.0,668.0,0.0,9.5,ms,25.7,"?tsuchi, Japan"
6.5,0.0,4.0,0.0,650.0,369.0,0.0,18.7,mb,6.8,"Hasaki, Japan"
7.7,7.0,4.0,0.0,931.0,507.0,0.0,10.8,mwc,18.6,"Kamaishi, Japan"
7.85,8.0,7.0,0.0,1140.0,163.0,0.0,48.4,mwc,42.6,"?arai, Japan"
7.85,9.0,8.0,0.0,1149.125,541.0,0.0,9.5,mww,29.0,"2011 Great Tohoku Earthquake, Japan"
7.3,5.0,5.0,0.0,972.0,550.0,0.0,17.4,mww,32.0,"?funato, Japan"
6.7,5.0,6.0,0.0,731.0,358.0,0.0,33.9,mww,21.0,"Constitución, Chile"
6.9,7.0,7.0,0.0,988.0,382.0,0.0,34.7,mww,26.0,"Tomé, Chile"
7.2,7.0,7.0,0.0,1149.125,372.0,0.0,25.3,mww,68.0,"Dalbandin, Pakistan"
7.0,2.0,5.0,0.0,755.0,578.0,0.0,13.3,mww,9.0,"Tadine, New Caledonia"
7.2,8.0,7.0,0.0,1054.0,397.0,0.0,30.1,mww,24.0,"Carahue, Chile"
7.3,0.0,5.0,0.0,820.0,409.0,0.0,12.0,mwc,16.0,"Isangel, Vanuatu"
6.7,3.0,7.0,0.0,708.0,279.0,0.0,24.3,mwc,12.0,"Bam, Iran"
6.6,0.0,6.0,0.0,670.0,306.0,0.0,18.5,mwb,33.0,"Kandrian, Papua New Guinea"
7.8,4.0,7.0,0.0,946.0,379.0,0.0,23.0,mwc,20.1,"Sungai Penuh, Indonesia"
